segment,idx,rho_kpc,inc_deg,alpha_deg,h5
seg1,99,7.953123955404695,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0099_r007.95_i023.00_a000.00.h5
seg1,100,7.655406495319513,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0100_r007.66_i023.00_a000.00.h5
seg1,101,7.370781090540065,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0101_r007.37_i023.00_a000.00.h5
seg1,102,7.098704843878398,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0102_r007.10_i023.00_a000.00.h5
seg1,103,6.838654643807402,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0103_r006.84_i023.00_a000.00.h5
seg1,104,6.590126784662014,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0104_r006.59_i023.00_a000.00.h5
seg1,105,6.352636563466309,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0105_r006.35_i023.00_a000.00.h5
seg1,106,6.12571785718313,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0106_r006.13_i023.00_a000.00.h5
seg1,107,5.908922683893757,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0107_r005.91_i023.00_a000.00.h5
seg1,108,5.701820751139281,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0108_r005.70_i023.00_a000.00.h5
seg1,109,5.503998994391708,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0109_r005.50_i023.00_a000.00.h5
seg1,110,5.31506110837329,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0110_r005.32_i023.00_a000.00.h5
seg1,111,5.134627073705398,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0111_r005.13_i023.00_a000.00.h5
seg1,112,4.962332681145065,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0112_r004.96_i023.00_a000.00.h5
seg1,113,4.797829055456636,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0113_r004.80_i023.00_a000.00.h5
seg1,114,4.6407821807687615,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0114_r004.64_i023.00_a000.00.h5
seg1,115,4.490872429082015,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0115_r004.49_i023.00_a000.00.h5
seg1,116,4.3477940934201875,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0116_r004.35_i023.00_a000.00.h5
seg1,117,4.211254926958094,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0117_r004.21_i023.00_a000.00.h5
seg1,118,4.080975689310053,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0118_r004.08_i023.00_a000.00.h5
seg1,119,3.956689701026189,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0119_r003.96_i023.00_a000.00.h5
seg1,120,3.838142407217296,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0120_r003.84_i023.00_a000.00.h5
seg1,121,3.7250909511132493,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0121_r003.73_i023.00_a000.00.h5
seg1,122,3.6173037582543337,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0122_r003.62_i023.00_a000.00.h5
seg1,123,3.5145601319186537,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0123_r003.51_i023.00_a000.00.h5
seg1,124,3.416649860302026,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0124_r003.42_i023.00_a000.00.h5
seg1,125,3.323372835888707,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0125_r003.32_i023.00_a000.00.h5
seg1,126,3.234538687381587,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0126_r003.23_i023.00_a000.00.h5
seg1,127,3.149966424498827,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0127_r003.15_i023.00_a000.00.h5
seg1,128,3.069484095889906,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0128_r003.07_i023.00_a000.00.h5
seg1,129,2.99292846037712,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0129_r002.99_i023.00_a000.00.h5
seg1,130,2.9201446716888717,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0130_r002.92_i023.00_a000.00.h5
seg1,131,2.8509859768176695,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0131_r002.85_i023.00_a000.00.h5
seg1,132,2.7853134281089345,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0132_r002.79_i023.00_a000.00.h5
seg1,133,2.722995609165811,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0133_r002.72_i023.00_a000.00.h5
seg1,134,2.663908374640214,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0134_r002.66_i023.00_a000.00.h5
seg1,135,2.6079346039709996,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0135_r002.61_i023.00_a000.00.h5
seg1,136,2.5549639691263124,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0136_r002.55_i023.00_a000.00.h5
seg1,137,2.504892716408771,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0137_r002.50_i023.00_a000.00.h5
seg1,138,2.4576234623889532,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0138_r002.46_i023.00_a000.00.h5
seg1,139,2.413065004044841,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0139_r002.41_i023.00_a000.00.h5
seg1,140,2.371132143202214,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0140_r002.37_i023.00_a000.00.h5
seg1,141,2.331745525393748,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0141_r002.33_i023.00_a000.00.h5
seg1,142,2.2948314932826546,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0142_r002.29_i023.00_a000.00.h5
seg1,143,2.2603219548303732,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0143_r002.26_i023.00_a000.00.h5
seg1,144,2.228154266427317,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0144_r002.23_i023.00_a000.00.h5
seg1,145,2.1982711312510945,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0145_r002.20_i023.00_a000.00.h5
seg1,146,2.170620513168537,23.0,0.0,/data/sborthak/m61/edinburgh_movie/spectra/seg1/spec_0146_r002.17_i023.00_a000.00.h5
