segment,idx,inc_deg,alpha_deg,npz
seg3,37,23.0,74.41340782122906,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0037_inc023.00_a074.41.npz
seg3,38,23.0,76.42458100558659,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0038_inc023.00_a076.42.npz
seg3,39,23.0,78.43575418994413,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0039_inc023.00_a078.44.npz
seg3,40,23.0,80.44692737430168,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0040_inc023.00_a080.45.npz
seg3,41,23.0,82.45810055865923,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0041_inc023.00_a082.46.npz
seg3,42,23.0,84.46927374301676,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0042_inc023.00_a084.47.npz
seg3,43,23.0,86.4804469273743,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0043_inc023.00_a086.48.npz
seg3,44,23.0,88.49162011173185,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0044_inc023.00_a088.49.npz
seg3,45,23.0,90.5027932960894,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0045_inc023.00_a090.50.npz
seg3,46,23.0,92.51396648044692,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0046_inc023.00_a092.51.npz
seg3,47,23.0,94.52513966480447,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0047_inc023.00_a094.53.npz
seg3,48,23.0,96.53631284916202,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0048_inc023.00_a096.54.npz
seg3,49,23.0,98.54748603351955,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0049_inc023.00_a098.55.npz
seg3,50,23.0,100.55865921787709,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0050_inc023.00_a100.56.npz
seg3,51,23.0,102.56983240223465,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0051_inc023.00_a102.57.npz
seg3,52,23.0,104.58100558659218,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0052_inc023.00_a104.58.npz
seg3,53,23.0,106.59217877094973,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0053_inc023.00_a106.59.npz
seg3,54,23.0,108.60335195530726,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0054_inc023.00_a108.60.npz
seg3,55,23.0,110.6145251396648,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0055_inc023.00_a110.61.npz
seg3,56,23.0,112.62569832402235,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0056_inc023.00_a112.63.npz
seg3,57,23.0,114.63687150837988,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0057_inc023.00_a114.64.npz
seg3,58,23.0,116.64804469273743,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0058_inc023.00_a116.65.npz
seg3,59,23.0,118.65921787709496,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0059_inc023.00_a118.66.npz
seg3,60,23.0,120.67039106145252,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0060_inc023.00_a120.67.npz
seg3,61,23.0,122.68156424581007,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0061_inc023.00_a122.68.npz
seg3,62,23.0,124.69273743016761,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0062_inc023.00_a124.69.npz
seg3,63,23.0,126.70391061452514,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0063_inc023.00_a126.70.npz
seg3,64,23.0,128.7150837988827,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0064_inc023.00_a128.72.npz
seg3,65,23.0,130.72625698324023,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0065_inc023.00_a130.73.npz
seg3,66,23.0,132.73743016759778,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0066_inc023.00_a132.74.npz
seg3,67,23.0,134.7486033519553,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0067_inc023.00_a134.75.npz
seg3,68,23.0,136.75977653631284,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0068_inc023.00_a136.76.npz
seg3,69,23.0,138.77094972067042,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0069_inc023.00_a138.77.npz
seg3,70,23.0,140.78212290502793,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0070_inc023.00_a140.78.npz
seg3,71,23.0,142.79329608938548,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0071_inc023.00_a142.79.npz
seg3,72,23.0,144.80446927374302,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0072_inc023.00_a144.80.npz
seg3,73,23.0,146.81564245810057,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0073_inc023.00_a146.82.npz
seg3,74,23.0,148.82681564245812,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0074_inc023.00_a148.83.npz
seg3,75,23.0,150.83798882681563,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0075_inc023.00_a150.84.npz
seg3,76,23.0,152.84916201117318,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0076_inc023.00_a152.85.npz
seg3,77,23.0,154.86033519553072,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0077_inc023.00_a154.86.npz
seg3,78,23.0,156.87150837988827,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0078_inc023.00_a156.87.npz
seg3,79,23.0,158.88268156424581,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0079_inc023.00_a158.88.npz
seg3,80,23.0,160.89385474860336,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0080_inc023.00_a160.89.npz
seg3,81,23.0,162.9050279329609,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0081_inc023.00_a162.91.npz
seg3,82,23.0,164.91620111731845,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0082_inc023.00_a164.92.npz
seg3,83,23.0,166.92737430167597,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0083_inc023.00_a166.93.npz
seg3,84,23.0,168.9385474860335,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0084_inc023.00_a168.94.npz
seg3,85,23.0,170.94972067039106,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0085_inc023.00_a170.95.npz
seg3,86,23.0,172.9608938547486,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0086_inc023.00_a172.96.npz
seg3,87,23.0,174.97206703910615,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0087_inc023.00_a174.97.npz
seg3,88,23.0,176.9832402234637,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0088_inc023.00_a176.98.npz
seg3,89,23.0,178.99441340782124,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0089_inc023.00_a178.99.npz
seg3,90,23.0,181.0055865921788,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0090_inc023.00_a181.01.npz
seg3,91,23.0,183.0167597765363,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0091_inc023.00_a183.02.npz
seg3,92,23.0,185.02793296089385,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0092_inc023.00_a185.03.npz
seg3,93,23.0,187.03910614525142,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0093_inc023.00_a187.04.npz
seg3,94,23.0,189.05027932960894,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0094_inc023.00_a189.05.npz
seg3,95,23.0,191.0614525139665,/data/sborthak/m61/edinburgh_movie/projections/seg3/proj_0095_inc023.00_a191.06.npz
